Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.
,Donald Cerrone,,View
win,Michel Pereira,6,0,0,0,Welterweight,KO/TKO,1,1:47
win,Grant Dawson,27,3,1,4,Featherweight,SUB,2,2:27
win,Ed Herman,11,0,0,0,Light Heavyweight,KO/TKO,1,3:39
win,Zak Cummings,34,0,1,0,Middleweight,SUB,3,4:01
win,Julio Arce,74,1,0,0,Featherweight,KO/TKO,3,1:49
win,Jessica Andrade,47,2,0,0,Women's Strawweight,KO/TKO,2,2:58
win,Jared Cannonier,17,0,0,0,Middleweight,KO/TKO,1,4:47
win,Alexander Volkanovski,95,0,0,0,Featherweight,U-DEC,3,5:00
win,Laureano Staropoli,54,1,0,0,Welterweight,U-DEC,3,5:00
win,Irene Aldana,83,0,1,1,Women's Bantamweight,SUB,3,3:24
win,Ryan Spann,13,1,1,1,Light Heavyweight,KO/TKO,1,2:07
win,Thiago Moises,66,4,1,4,Lightweight,U-DEC,3,5:00
win,Warlley Alves,72,0,0,0,Welterweight,KO/TKO,3,4:13
win,Clay Guida,80,1,0,0,Lightweight,U-DEC,3,5:00
win,Luana Carolina,111,0,3,1,Women's Flyweight,U-DEC,3,5:00
win,Raoni Barcelos,59,0,1,3,Bantamweight,KO/TKO,2,4:49
win,Viviane Araujo,61,3,0,3,Women's Bantamweight,KO/TKO,3,0:48
win,Donald Cerrone,138,0,0,0,Lightweight,U-DEC,5,5:00
win,Derek Brunson,56,4,0,5,Middleweight,U-DEC,3,5:00
win,Shane Burgos,134,0,0,0,Featherweight,S-DEC,3,5:00
win,Merab Dvalishvili,55,5,0,3,Bantamweight,U-DEC,3,5:00
win,Walt Harris,17,0,0,0,Heavyweight,KO/TKO,1,0:50
win,Andrew Sanchez,72,2,0,3,Middleweight,U-DEC,3,5:00
win,Macy Chiasson,43,0,0,3,Women's Bantamweight,KO/TKO,2,2:22
win,Vince Morales,59,0,0,0,Bantamweight,U-DEC,3,5:00
win,Nordine Taleb,90,0,0,0,Welterweight,U-DEC,3,5:00
win,Matt Sayles,75,0,1,3,Featherweight,SUB,3,3:16
win,Arjan Bhullar,41,2,0,2,Heavyweight,U-DEC,3,5:00
win,Cole Smith,38,2,2,2,Bantamweight,U-DEC,3,5:00
win,Jack Hermansson,148,3,1,1,Middleweight,U-DEC,5,5:00
win,Greg Hardy,14,0,0,0,Heavyweight,KO/TKO,1,2:15
win,Mike Perry,65,0,0,1,Welterweight,U-DEC,3,5:00
win,Glover Teixeira,30,0,1,3,Light Heavyweight,SUB,2,3:37
win,Cory Sandhagen,120,2,0,0,Bantamweight,S-DEC,3,5:00
win,Roosevelt Roberts,53,2,0,6,Lightweight,U-DEC,3,5:00
win,Takashi Sato,28,0,0,0,Welterweight,KO/TKO,2,1:18
win,Augusto Sakai,42,0,0,0,Heavyweight,S-DEC,3,5:00
win,Carla Esparza,25,4,0,3,Women's Strawweight,U-DEC,3,5:00
win,Gilbert Burns,49,3,1,4,Lightweight,SUB,2,4:15
win,Jim Miller,6,2,1,1,Lightweight,SUB,1,2:12
win,Angela Hill,117,0,0,0,Women's Strawweight,U-DEC,3,5:00
win,Dhiego Lima,65,0,0,0,Welterweight,S-DEC,3,5:00
win,Alistair Overeem,29,0,0,0,Heavyweight,KO/TKO,1,4:45
win,Islam Makhachev,14,4,0,2,Lightweight,U-DEC,3,5:00
win,Sergei Pavlovich,17,0,0,0,Heavyweight,KO/TKO,1,1:06
win,Roxanne Modafferi,33,5,0,5,Women's Flyweight,S-DEC,3,5:00
win,Krzysztof Jotko,43,4,0,5,Middleweight,U-DEC,3,5:00
win,Movsar Evloev,50,5,0,1,Featherweight,U-DEC,3,5:00
win,Sultan Aliev,25,2,0,0,Welterweight,U-DEC,3,5:00
win,Alexander Yakovlev,14,1,1,0,Lightweight,SUB,2,3:10
win,Shamil Abdurakhimov,36,0,0,0,Heavyweight,KO/TKO,2,3:15
win,Michal Oleksiejczuk,8,0,0,0,Light Heavyweight,KO/TKO,1,0:44
win,Magomed Mustafaev,10,0,0,0,Lightweight,KO/TKO,1,1:26
win,Dustin Poirier,178,1,0,0,Lightweight,U-DEC,5,5:00
win,Israel Adesanya,109,0,2,0,Middleweight,U-DEC,5,5:00
win,Khalil Rountree Jr.,79,0,0,0,Light Heavyweight,U-DEC,3,5:00
win,Dwight Grant,38,0,0,0,Welterweight,S-DEC,3,5:00
win,Nikita Krylov,27,1,2,2,Light Heavyweight,SUB,2,2:30
win,Matt Frevola,31,4,2,7,Lightweight,U-DEC,3,5:00
win,Alexandre Pantoja,23,0,0,0,Flyweight,KO/TKO,1,2:58
win,Max Griffin,47,6,3,2,Welterweight,M-DEC,3,5:00
win,Khalid Taha,5,0,0,0,Bantamweight,KO/TKO,1,0:25
